Artist,Nacionality,Gender,BirthYear,DeathYear,TotalArtwork,Categories
Andrés Jaque,Spanish,Male,1971,-1,1,"{""Architecture & Design"": 1}"
Friz Freleng,American,Male,1905,1995,37,"{""Film"": 37}"
Michel Auder,French,Male,1945,-1,1,"{""Film"": 1}"
Shen Wei,Chinese,Male,1977,-1,2,"{""Photography"": 2}"
Erik Barnouw,American,Male,1908,2001,1,"{""Film"": 1}"
Ernst Moritz Engert,German,Male,1892,1986,1,"{""Prints & Illustrated Books"": 1}"
Pat Sullivan,Australian,Male,1887,1933,1,"{""Film"": 1}"
Richard Protovin,American,Male,1945,1991,1,"{""Film"": 1}"
Dennis Pies,American,Male,1947,-1,1,"{""Film"": 1}"
Lawrence C. Windom,American,Male,1876,-1,1,"{""Film"": 1}"
Lynne Sachs,American,Female,1961,-1,3,"{""Film"": 3}"
Alessandro Blasetti,Italian,Male,1900,1987,1,"{""Film"": 1}"
Francis Jourdain,French,Male,1876,1958,1,"{""Prints & Illustrated Books"": 1}"
Jordan Belson,American,Male,1926,2011,1,"{""Film"": 1}"
Alan Berliner,American,Male,1956,-1,1,"{""Film"": 1}"
Aleksandr Sokurov,Russian,Male,1951,-1,6,"{""Film"": 6}"
Bert Haanstra,Dutch,Male,1916,1997,1,"{""Film"": 1}"
Djibril Diop Mambéty,Senegalese,Male,1945,1998,1,"{""Film"": 1}"
Abderrahmane Sissako,Mauritanian,Male,1961,-1,2,"{""Film"": 2}"
Ousmane Sembène,Senegalese,Male,1923,2007,1,"{""Film"": 1}"
Akira Kurosawa,Japanese,Male,1910,1998,1,"{""Film"": 1}"
Raoul Peck,Haitian,Male,1953,-1,2,"{""Film"": 2}"
Diana Barrie,American,Female,1952,-1,1,"{""Film"": 1}"
Peter Kubelka,Austrian,Male,1934,-1,3,"{""Film"": 3}"
Marie Menken,American,Female,1909,1970,1,"{""Film"": 1}"
Michael Carapetian,British,Male,1938,-1,1,"{""Architecture & Design"": 1}"
André Komatsu,Brazilian,Male,1978,-1,1,"{""Prints & Illustrated Books"": 1}"
Chen Shaoxiong,Chinese,Male,1962,2016,1,"{""Media and Performance Art"": 1}"
