Artist,Nacionality,Gender,BirthYear,DeathYear,TotalArtwork,Categories
Robert Arneson,American,Male,1930,1992,2,"{""Drawings"": 1, ""Prints & Illustrated Books"": 1}"
Doroteo Arnaiz,Spanish,Male,1936,-1,1,"{""Prints & Illustrated Books"": 1}"
Bill Arnold,American,Male,1941,-1,26,"{""Photography"": 26}"
Charles Arnoldi,American,Male,1946,-1,1,"{""Drawings"": 1}"
Per Arnoldi,Danish,Male,1941,-1,18,"{""Architecture & Design"": 18}"
Bill Aron,American,Male,1941,-1,1,"{""Photography"": 1}"
David Aronson,American,Male,1923,-1,1,"{""Architecture & Design"": 1}"
Irene Aronson,American,Female,1918,-1,1,"{""Prints & Illustrated Books"": 1}"
Jean (Hans) Arp,French,Male,1886,1966,217,"{""Architecture & Design"": 2, ""Prints & Illustrated Books"": 188, ""Drawings"": 5, ""Painting & Sculpture"": 22}"
Jüri Arrak,Estonian,Male,1936,-1,1,"{""Prints & Illustrated Books"": 1}"
J. Arrelano Fischer,Mexican,Male,1911,1995,1,"{""Prints & Illustrated Books"": 1}"
Folke Arstrom,Swedish,Male,1907,1997,1,"{""Architecture & Design"": 1}"
Cristobal Arteche,Spanish,Male,1900,1964,1,"{""Architecture & Design"": 1}"
Richard Artschwager,American,Male,1923,2013,53,"{""Drawings"": 12, ""Photography"": 2, ""Prints & Illustrated Books"": 23, ""Painting & Sculpture"": 16}"
Ruth Asawa,American,Female,1926,2013,55,"{""Prints & Illustrated Books"": 55}"
Charles Robert Ashbee,British,Male,1863,1942,1,"{""Architecture & Design"": 1}"
Donald Ashcraft,American,Male,1927,-1,1,"{""Prints & Illustrated Books"": 1}"
E. M. Ashe,American,Male,1867,1941,1,"{""Architecture & Design"": 1}"
Erik Gunnar Asplund,Swedish,Male,1885,1940,33,"{""Architecture & Design"": 33}"
Geneviève Asse,French,Female,1923,-1,50,"{""Prints & Illustrated Books"": 50}"
Sergio Asti,Italian,Male,1926,-1,7,"{""Architecture & Design"": 7}"
Dana Atchley,American,Female,1941,2000,7,"{""Prints & Illustrated Books"": 7}"
Alvar Aalto,Finnish,Male,1898,1976,40,"{""Architecture & Design"": 40}"
Aino Aalto,Finnish,Female,1894,1949,1,"{""Architecture & Design"": 1}"
Eero Aarnio,Finnish,Male,1932,-1,2,"{""Architecture & Design"": 2}"
Jules Aarons,American,Male,1921,2008,2,"{""Photography"": 2}"
Magdalena Abakanowicz,Polish,Female,1930,-1,6,"{""Architecture & Design"": 1, ""Drawings"": 3, ""Painting & Sculpture"": 2}"
James Abbe,American,Male,1883,1973,1,"{""Photography"": 1}"
Jussuff Abbo,British,Male,1888,1953,2,"{""Prints & Illustrated Books"": 2}"
Berenice Abbott,American,Female,1898,1991,76,"{""Photography"": 76}"
Nobuya Abe,Japanese,Male,1913,1971,2,"{""Prints & Illustrated Books"": 2}"
Abe Shiro (pen Name: Suichiku),Japanese,Male,1900,-1,1,"{""Drawings"": 1}"
Sigmund Abeles,American,Male,1934,-1,1,"{""Prints & Illustrated Books"": 1}"
Raimund Abraham,American,Male,1933,2010,20,"{""Architecture & Design"": 20}"
Ivor Abrahams,British,Male,1935,-1,1,"{""Prints & Illustrated Books"": 1}"
Gerald Abramovitz,British,Male,1928,2011,1,"{""Architecture & Design"": 1}"
William Ross Abrams,American,Male,1920,2007,1,"{""Prints & Illustrated Books"": 1}"
Rodolfo Abularach,Guatemalan,Male,1933,-1,42,"{""Drawings"": 4, ""Prints & Illustrated Books"": 38}"
Vito Acconci,American,Male,1940,-1,51,"{""Prints & Illustrated Books"": 22, ""Drawings"": 6, ""Photography"": 2, ""Painting & Sculpture"": 2, ""Media and Performance Art"": 19}"
Milton Ackoff,American,Male,1915,-1,2,"{""Architecture & Design"": 2}"
Luis Alberto Acuña,Colombian,Male,1904,1994,1,"{""Prints & Illustrated Books"": 1}"
Henri Georges Adam,French,Male,1904,1967,17,"{""Prints & Illustrated Books"": 17}"
Antoine Samuel Adam-Salomon,French,Male,1818,1881,4,"{""Photography"": 4}"
Valerio Adami,Italian,Male,1935,-1,4,"{""Drawings"": 2, ""Prints & Illustrated Books"": 2}"
Ansel Adams,American,Male,1902,1984,290,"{""Photography"": 290}"
Alice Adams,American,Female,1930,-1,2,"{""Prints & Illustrated Books"": 1, ""Painting & Sculpture"": 1}"
Clinton Adams,American,Male,1918,2002,62,"{""Prints & Illustrated Books"": 62}"
Dacres Adams,British,Male,1864,1951,1,"{""Architecture & Design"": 1}"
Dennis Adams,American,Male,1948,-1,1,"{""Prints & Illustrated Books"": 1}"
Kenneth M. Adams,American,Male,1897,1966,1,"{""Prints & Illustrated Books"": 1}"
Robert Adams,American,Male,1937,-1,72,"{""Photography"": 72}"
Shelby Lee Adams,American,Female,1950,-1,1,"{""Photography"": 1}"
Charles Addams,American,Male,1912,1988,3,"{""Drawings"": 3}"
Allan Adler,American,Male,1916,2002,1,"{""Architecture & Design"": 1}"
Jankel Adler,Polish,Male,1895,1949,1,"{""Painting & Sculpture"": 1}"
Virginia Admiral,American,Female,1915,2000,1,"{""Painting & Sculpture"": 1}"
Pic Adrian,Romanian,Male,1910,-1,11,"{""Prints & Illustrated Books"": 11}"
Roy Adzak,British,Male,1927,1987,1,"{""Painting & Sculpture"": 1}"
Nicholas Africano,American,Male,1948,-1,2,"{""Photography"": 1, ""Painting & Sculpture"": 1}"
Afro (Afro Basaldella),Italian,Male,1912,1976,3,"{""Prints & Illustrated Books"": 1, ""Painting & Sculpture"": 2}"
Agam (Yaacov Agam),Israeli,Male,1928,-1,3,"{""Prints & Illustrated Books"": 1, ""Painting & Sculpture"": 2}"
Mehemed Fehmy Agha,American,Male,1896,1978,1,"{""Photography"": 1}"
Kathleen Agnoli,American,Female,1945,-1,2,"{""Photography"": 2}"
Peter Agostini,American,Male,1913,1993,1,"{""Drawings"": 1}"
Olympe Aguado de las Marismas,French,Male,1827,1894,3,"{""Photography"": 3}"
Dongkuk S. Ahn,American,Male,1937,2013,1,"{""Prints & Illustrated Books"": 1}"
Aarne Aho,Finnish,Male,1904,1978,1,"{""Prints & Illustrated Books"": 1}"
Otl Aicher (also known as Otto Aicher),German,Male,1922,1991,36,"{""Architecture & Design"": 36}"
Lucien Aigner,American,Male,1901,1999,2,"{""Photography"": 2}"
Gregory Ain,American,Male,1908,1988,1,"{""Architecture & Design"": 1}"
Edgar Ainsworth,British,Male,1906,1975,3,"{""Architecture & Design"": 3}"
Roberto Aizenberg,Argentine,Male,1928,1996,2,"{""Drawings"": 2}"
Kinji Akagawa,Japanese,Male,1940,-1,7,"{""Prints & Illustrated Books"": 7}"
Ryoji Akiyama,Japanese,Male,1942,-1,10,"{""Photography"": 10}"
Munira Al-Kazi,Kuwaiti,Female,1939,-1,1,"{""Drawings"": 1}"
Alastair (Hans H. Voight),German,Male,1887,1969,1,"{""Drawings"": 1}"
Anni Albers,American,Female,1899,1994,197,"{""Architecture & Design"": 171, ""Prints & Illustrated Books"": 26}"
Josef Albers,American,Male,1888,1976,291,"{""Architecture & Design"": 6, ""Prints & Illustrated Books"": 264, ""Drawings"": 1, ""Photography"": 12, ""Painting & Sculpture"": 8}"
Joan Albert,American,Female,1943,2012,6,"{""Photography"": 6}"
Ivan Le Lorraine Albright,American,Male,1897,1983,6,"{""Prints & Illustrated Books"": 4, ""Painting & Sculpture"": 2}"
Albert Alcalay,American,Male,1917,2008,1,"{""Drawings"": 1}"
L. (Alfred Lewin Copley) Alcopley,American,Male,1910,1992,12,"{""Architecture & Design"": 1, ""Prints & Illustrated Books"": 10, ""Drawings"": 1}"
Alan Aldridge,British,Male,1943,-1,1,"{""Architecture & Design"": 1}"
Pierre Alechinsky,Belgian,Male,1927,-1,429,"{""Prints & Illustrated Books"": 424, ""Drawings"": 5}"
Peter Alexander,American,Male,1939,-1,16,"{""Prints & Illustrated Books"": 15, ""Painting & Sculpture"": 1}"
José R. Alicea,American,Male,1928,-1,4,"{""Prints & Illustrated Books"": 4}"
James Alinder,American,Male,1941,-1,2,"{""Photography"": 2}"
Yves Alix,French,Male,1890,1969,2,"{""Prints & Illustrated Books"": 2}"
Wobbe Alkema,Dutch,Male,1900,1984,4,"{""Drawings"": 4}"
William Allan,American,Male,1936,-1,1,"{""Drawings"": 1}"
Alexander Alland,American,Male,1902,1989,3,"{""Photography"": 3}"
Harry Allen,American,Male,1964,-1,6,"{""Architecture & Design"": 5, ""Photography"": 1}"
Terry Allen,American,Male,1943,-1,7,"{""Prints & Illustrated Books"": 7}"
Adrian Allinson,British,Male,1890,1959,1,"{""Architecture & Design"": 1}"
Carlos Alonso,Argentine,Male,1929,-1,1,"{""Drawings"": 1}"
Glen Alps,American,Male,1914,1996,16,"{""Prints & Illustrated Books"": 16}"
Henry Altchek,American,Male,1943,-1,1,"{""Architecture & Design"": 1}"
Gerhard Altenbourg,German,Male,1926,1989,4,"{""Drawings"": 1, ""Prints & Illustrated Books"": 3}"
Hobie Alter,American,Male,1933,-1,1,"{""Architecture & Design"": 1}"
Harold Altman,American,Male,1924,2003,45,"{""Drawings"": 2, ""Prints & Illustrated Books"": 43}"
Giacchino Altobelli,Italian,Male,1814,-1,10,"{""Photography"": 10}"
John Altoon,American,Male,1925,1969,26,"{""Prints & Illustrated Books"": 26}"
Manuel Álvarez Bravo,Mexican,Male,1902,2002,60,"{""Photography"": 60}"
Dag Alveng,Norwegian,Male,1953,-1,1,"{""Photography"": 1}"
Getulio Alviani,Italian,Male,1939,-1,6,"{""Prints & Illustrated Books"": 5, ""Painting & Sculpture"": 1}"
Edmond-François Aman Jean,French,Male,1858,1936,3,"{""Prints & Illustrated Books"": 3}"
Jim Amaral,American,Male,1933,-1,2,"{""Drawings"": 2}"
Emilio Ambasz,Argentine,Male,1943,-1,20,"{""Architecture & Design"": 20}"
Irving Amen,American,Male,1918,2011,4,"{""Prints & Illustrated Books"": 4}"
Woody van Amen,Dutch,Male,1936,-1,1,"{""Prints & Illustrated Books"": 1}"
Gregory Amenoff,American,Male,1948,-1,5,"{""Prints & Illustrated Books"": 3, ""Drawings"": 1, ""Painting & Sculpture"": 1}"
Florencia de Amesti,Chilean,Female,1925,2006,1,"{""Prints & Illustrated Books"": 1}"
Cuno Amiet,Swiss,Male,1868,1961,1,"{""Prints & Illustrated Books"": 1}"
Francisco Amighetti Ruiz,Costa Rican,Male,1907,1998,2,"{""Prints & Illustrated Books"": 2}"
Emma Amos,American,Female,1938,-1,2,"{""Prints & Illustrated Books"": 2}"
Mauricio Amster Cats,Chilean,Male,1907,1980,1,"{""Architecture & Design"": 1}"
William Anastasi,American,Male,1933,-1,14,"{""Drawings"": 8, ""Photography"": 4, ""Painting & Sculpture"": 2}"
Jiþi Anderle,Czech,Male,1936,-1,2,"{""Prints & Illustrated Books"": 2}"
Gunnar Aagaard Andersen,Danish,Male,1919,1982,1,"{""Architecture & Design"": 1}"
Karin Schou Andersen,Danish,Female,1953,-1,1,"{""Architecture & Design"": 1}"
Clarence William Anderson,American,Male,1891,1971,1,"{""Prints & Illustrated Books"": 1}"
Dennis Anderson,American,Male,1948,-1,1,"{""Photography"": 1}"
Jeremy Anderson,American,Male,1921,1982,3,"{""Architecture & Design"": 2, ""Drawings"": 1}"
James Anderson,British,Male,1813,1877,3,"{""Photography"": 3}"
Jerry Anderson,American,Male,1938,-1,2,"{""Prints & Illustrated Books"": 2}"
John Anderson,British,Male,1928,-1,1,"{""Painting & Sculpture"": 1}"
Neil Anderson,American,Male,1933,-1,1,"{""Prints & Illustrated Books"": 1}"
Paul L. Anderson,American,Male,1880,1956,24,"{""Photography"": 24}"
Monika Andersson,Swedish,Female,1957,-1,1,"{""Photography"": 1}"
Joe Andoe,American,Male,1955,-1,3,"{""Prints & Illustrated Books"": 3}"
Farnese de Andrade-Neto,Brazilian,Male,1926,1996,2,"{""Prints & Illustrated Books"": 2}"
Carl Andre,American,Male,1935,-1,45,"{""Prints & Illustrated Books"": 24, ""Drawings"": 11, ""Painting & Sculpture"": 10}"
Pat Andrea,Dutch,Male,1942,-1,2,"{""Drawings"": 2}"
Henning Andreasen,Danish,Male,1923,-1,6,"{""Architecture & Design"": 6}"
Laura Andreson,American,Female,1902,1999,1,"{""Architecture & Design"": 1}"
Mariano Andreù,Spanish,Male,1901,-1,2,"{""Prints & Illustrated Books"": 2}"
Benny Andrews,American,Male,1930,2006,6,"{""Drawings"": 2, ""Prints & Illustrated Books"": 3, ""Painting & Sculpture"": 1}"
Emmy Andriesse,Dutch,Female,1914,1953,13,"{""Photography"": 13}"
Claudia Andujar,American,Female,1931,-1,8,"{""Photography"": 8}"
Manuel Angeles Ortiz,Spanish,Male,1895,1984,10,"{""Drawings"": 3, ""Prints & Illustrated Books"": 7}"
Ludwig Angerer,Austrian,Male,1827,1879,1,"{""Photography"": 1}"
Raúl Anguiano,Mexican,Male,1915,2006,16,"{""Prints & Illustrated Books"": 15, ""Painting & Sculpture"": 1}"
Sibyl Anikeef,American,Female,1896,1996,1,"{""Photography"": 1}"
James Craig Annan,British,Male,1864,1946,1,"{""Photography"": 1}"
Thomas Annan,British,Male,1829,1887,51,"{""Photography"": 51}"
David Annesley,British,Male,1936,-1,1,"{""Painting & Sculpture"": 1}"
Horst Antes,German,Male,1936,-1,75,"{""Prints & Illustrated Books"": 72, ""Drawings"": 3}"
William Anthony,American,Male,1934,-1,1,"{""Prints & Illustrated Books"": 1}"
Stephen Antonakos,American,Male,1926,2013,67,"{""Prints & Illustrated Books"": 64, ""Drawings"": 3}"
Garo Antreasian,American,Male,1922,-1,79,"{""Prints & Illustrated Books"": 79}"
Nemesio Antúnez,Chilean,Male,1918,1993,15,"{""Prints & Illustrated Books"": 15}"
Richard Anuszkiewicz,American,Male,1930,-1,26,"{""Architecture & Design"": 1, ""Prints & Illustrated Books"": 23, ""Painting & Sculpture"": 2}"
Carl Apfelschnitt,American,Male,1948,-1,6,"{""Prints & Illustrated Books"": 6}"
Karel Appel,Dutch,Male,1921,2006,15,"{""Prints & Illustrated Books"": 10, ""Drawings"": 2, ""Painting & Sculpture"": 3}"
Ida Applebroog,American,Female,1929,-1,17,"{""Drawings"": 13, ""Prints & Illustrated Books"": 3, ""Painting & Sculpture"": 1}"
Shusaku Arakawa,American,Male,1936,2010,30,"{""Prints & Illustrated Books"": 27, ""Drawings"": 1, ""Painting & Sculpture"": 2}"
Diane Arbus,American,Female,1923,1971,83,"{""Photography"": 83}"
Aleksandr Archipenko,American,Male,1887,1964,38,"{""Prints & Illustrated Books"": 30, ""Drawings"": 1, ""Painting & Sculpture"": 7}"
Mordecai Ardon,Israeli,Male,1896,1992,2,"{""Painting & Sculpture"": 2}"
Luis Arenal,Mexican,Male,1909,1985,3,"{""Prints & Illustrated Books"": 3}"
Avigdor Arikha,Romanian,Male,1929,2010,4,"{""Prints & Illustrated Books"": 4}"
Gonzalo Ariza,Colombian,Male,1912,1995,1,"{""Painting & Sculpture"": 1}"
Siah Armajani,American,Male,1939,-1,9,"{""Prints & Illustrated Books"": 8, ""Painting & Sculpture"": 1}"
Arman,American,Male,1928,2005,27,"{""Prints & Illustrated Books"": 21, ""Drawings"": 2, ""Painting & Sculpture"": 4}"
Armando,Dutch,Male,1929,-1,2,"{""Prints & Illustrated Books"": 2}"
Kenneth Armitage,British,Male,1916,2002,4,"{""Prints & Illustrated Books"": 3, ""Painting & Sculpture"": 1}"
John Taylor Arms,American,Male,1887,1953,2,"{""Prints & Illustrated Books"": 2}"
John Armstrong,British,Male,1893,1973,5,"{""Architecture & Design"": 5}"
François Arnal,French,Male,1924,2012,3,"{""Prints & Illustrated Books"": 3}"
Eugène Atget,French,Male,1857,1927,5050,"{""Photography"": 5050}"
John Atherton,American,Male,1900,1952,4,"{""Architecture & Design"": 2, ""Drawings"": 1, ""Painting & Sculpture"": 1}"
Anna Atkins,British,Female,1797,1871,2,"{""Photography"": 2}"
Conrad Atkinson,British,Male,1940,-1,1,"{""Prints & Illustrated Books"": 1}"
Lawrence Atkinson,British,Male,1873,1931,1,"{""Drawings"": 1}"
Jean-Michel Atlan,French,Male,1913,1960,19,"{""Prints & Illustrated Books"": 18, ""Drawings"": 1}"
Dotty Attie,American,Female,1938,-1,3,"{""Prints & Illustrated Books"": 3}"
Carl Auböck,Austrian,Male,1924,1993,7,"{""Architecture & Design"": 7}"
Charles Aubry,French,Male,1811,1877,2,"{""Photography"": 2}"
Frank Auerbach,British,Male,1931,-1,5,"{""Drawings"": 2, ""Prints & Illustrated Books"": 2, ""Painting & Sculpture"": 1}"
Gae Aulenti,Italian,Female,1930,2012,1,"{""Architecture & Design"": 1}"
George Ault,American,Male,1891,1948,3,"{""Drawings"": 1, ""Prints & Illustrated Books"": 1, ""Painting & Sculpture"": 1}"
Darrel Austin,American,Male,1907,1994,1,"{""Painting & Sculpture"": 1}"
Mario Avati,Italian,Male,1921,2009,14,"{""Prints & Illustrated Books"": 14}"
Edward Avedisian,American,Male,1936,2007,1,"{""Prints & Illustrated Books"": 1}"
Richard Avedon,American,Male,1923,2004,74,"{""Architecture & Design"": 5, ""Prints & Illustrated Books"": 1, ""Photography"": 68}"
Frances Avery,American,Female,1910,2006,1,"{""Photography"": 1}"
Milton Avery,American,Male,1885,1965,8,"{""Prints & Illustrated Books"": 4, ""Drawings"": 1, ""Painting & Sculpture"": 3}"
Kiyoshi Awazu,Japanese,Male,1929,2009,7,"{""Architecture & Design"": 7}"
Ay-O,Japanese,Male,1931,-1,76,"{""Prints & Illustrated Books"": 76}"
Alice Aycock,American,Female,1946,-1,7,"{""Drawings"": 4, ""Prints & Illustrated Books"": 2, ""Painting & Sculpture"": 1}"
Pierre Ayot,Canadian,Male,1943,1995,1,"{""Prints & Illustrated Books"": 1}"
Michael Ayrton,British,Male,1921,1975,19,"{""Prints & Illustrated Books"": 19}"
Luis Cruz Azaceta,American,Male,1942,-1,3,"{""Prints & Illustrated Books"": 3}"
Umetaro Azechi,Japanese,Male,1902,1999,6,"{""Prints & Illustrated Books"": 6}"
Kengiro Azuma,Japanese,Male,1926,-1,2,"{""Prints & Illustrated Books"": 2}"
Johannes Baader,German,Male,1875,1955,1,"{""Drawings"": 1}"
Johannes Theodor Baargeld (Alfred Emanuel Ferdinand Gruenwald),German,Male,1892,1927,4,"{""Drawings"": 4}"
Kurt W. Baasch,American,Male,1891,1964,19,"{""Photography"": 19}"
Alice Baber,American,Female,1928,1982,2,"{""Prints & Illustrated Books"": 1, ""Painting & Sculpture"": 1}"
Edmondo Bacci,Italian,Male,1913,1978,1,"{""Painting & Sculpture"": 1}"
Elvira Bach,German,Female,1951,-1,1,"{""Prints & Illustrated Books"": 1}"
Olof Backman,Swedish,Male,1899,-1,1,"{""Architecture & Design"": 1}"
Olof Backstrom,Finnish,Male,1922,-1,1,"{""Architecture & Design"": 1}"
Francis Bacon,British,Male,1909,1992,5,"{""Painting & Sculpture"": 5}"
Peggy Bacon,American,Female,1895,1987,37,"{""Drawings"": 1, ""Prints & Illustrated Books"": 36}"
Karl Baden,American,Male,1952,-1,1,"{""Photography"": 1}"
Mowry Thatcher Baden,American,Male,1936,-1,1,"{""Painting & Sculpture"": 1}"
Aquiles Badi,Argentine,Male,1894,1976,1,"{""Drawings"": 1}"
Libero Badii,Argentine,Male,1916,2001,33,"{""Prints & Illustrated Books"": 33}"
Frank Badur,German,Male,1944,-1,12,"{""Prints & Illustrated Books"": 12}"
Donald Baechler,American,Male,1956,-1,22,"{""Prints & Illustrated Books"": 22}"
Jo Baer,American,Female,1929,-1,25,"{""Drawings"": 13, ""Painting & Sculpture"": 2, ""Prints & Illustrated Books"": 10}"
Martin Baer,American,Male,1894,1961,1,"{""Painting & Sculpture"": 1}"
Olle Baertling,Swedish,Male,1911,1981,2,"{""Painting & Sculpture"": 2}"
Myrna Báez,American,Female,1931,-1,1,"{""Prints & Illustrated Books"": 1}"
John Bageris,American,Male,1924,2000,2,"{""Drawings"": 2}"
Heinz Bahr,German,Male,1934,-1,1,"{""Architecture & Design"": 1}"
Malcolm Bailey,American,Male,1947,2011,2,"{""Drawings"": 1, ""Painting & Sculpture"": 1}"
Oscar Bailey,American,Male,1925,-1,3,"{""Photography"": 3}"
William Bailey,American,Male,1930,-1,3,"{""Prints & Illustrated Books"": 2, ""Painting & Sculpture"": 1}"
Larry Bair,American,Male,1952,1990,2,"{""Photography"": 2}"
Eugenie Baizerman,American,Female,1899,1949,1,"{""Painting & Sculpture"": 1}"
Enrico Baj,Italian,Male,1924,2003,53,"{""Prints & Illustrated Books"": 53}"
Mikal Baker,American,Male,1946,-1,1,"{""Photography"": 1}"
Vagrich Bakhchanyan,Russian,Male,1938,2009,1,"{""Prints & Illustrated Books"": 1}"
Léon Bakst,Russian,Male,1866,1924,4,"{""Drawings"": 4}"
Gerard Baksteen,Dutch,Male,1887,1976,1,"{""Architecture & Design"": 1}"
Amèrico Balán,Argentine,Male,1915,1986,1,"{""Prints & Illustrated Books"": 1}"
Jirí Balcar,Czech,Male,1929,1968,23,"{""Prints & Illustrated Books"": 23}"
John Baldessari,American,Male,1931,-1,66,"{""Prints & Illustrated Books"": 43, ""Drawings"": 11, ""Painting & Sculpture"": 5, ""Photography"": 1, ""Media and Performance Art"": 6}"
George Baldessin,Australian,Male,1939,1978,2,"{""Prints & Illustrated Books"": 2}"
C. Leroy Baldridge,American,Male,1889,1975,1,"{""Architecture & Design"": 1}"
Édouard-Denis Baldus,French,Male,1813,1882,11,"{""Photography"": 11}"
Benjamin Baldwin,American,Male,1913,1993,1,"{""Architecture & Design"": 1}"
Joost Baljeu,Dutch,Male,1925,1991,1,"{""Painting & Sculpture"": 1}"
Giacomo Balla,Italian,Male,1871,1958,11,"{""Prints & Illustrated Books"": 1, ""Drawings"": 3, ""Painting & Sculpture"": 4, ""Architecture & Design"": 3}"
R. Maxil Ballinger,American,Male,1914,1958,8,"{""Prints & Illustrated Books"": 8}"
Theo H. Ballmer,Swiss,Male,1902,1965,4,"{""Architecture & Design"": 4}"
Alexander Bally,American,Male,1938,-1,1,"{""Architecture & Design"": 1}"
John F. Balossi,American,Male,1931,2007,1,"{""Prints & Illustrated Books"": 1}"
Balthus (Baltusz Klossowski de Rola),French,Male,1908,2001,12,"{""Drawings"": 8, ""Painting & Sculpture"": 4}"
Lewis Baltz,American,Male,1945,2014,36,"{""Photography"": 36}"
Thomas Bamberger,American,Male,1948,-1,3,"{""Photography"": 3}"
McDonald (Mackey Jeffries) Bane,American,Female,1928,-1,1,"{""Drawings"": 1}"
Colette Bangert,American,Female,1934,-1,1,"{""Drawings"": 1}"
Walter Darby Bannard,American,Male,1934,2016,10,"{""Prints & Illustrated Books"": 8, ""Painting & Sculpture"": 2}"
John Banting,British,Male,1902,1972,3,"{""Prints & Illustrated Books"": 3}"
Rudolf Baranik,American,Male,1920,1998,2,"{""Prints & Illustrated Books"": 1, ""Painting & Sculpture"": 1}"
Vladimir Baranoff-Rossiné,Ukrainian,Male,1888,1944,1,"{""Painting & Sculpture"": 1}"
Anthony Barboza,American,Male,1944,-1,7,"{""Photography"": 7}"
Miquel Barcelo,Spanish,Male,1957,-1,2,"{""Prints & Illustrated Books"": 2}"
Peter Bardazzi,American,Male,1943,-1,1,"{""Drawings"": 1}"
J. Baric,French,Male,1825,1905,1,"{""Architecture & Design"": 1}"
Richard Baringer,American,Male,1921,1980,1,"{""Drawings"": 1}"
George Barker,Australian,Male,1942,-1,1,"{""Prints & Illustrated Books"": 1}"
Walter William Barker,American,Male,1921,2004,3,"{""Drawings"": 1, ""Prints & Illustrated Books"": 1, ""Painting & Sculpture"": 1}"
Ernst Barlach,German,Male,1870,1938,100,"{""Prints & Illustrated Books"": 96, ""Drawings"": 2, ""Painting & Sculpture"": 2}"
George Barnard,American,Male,1819,1902,65,"{""Photography"": 65}"
Matthew Rackham Barnes,American,Male,1880,1951,1,"{""Painting & Sculpture"": 1}"
Robert Barnes,American,Male,1934,-1,1,"{""Drawings"": 1}"
Will Barnet,American,Male,1911,2012,18,"{""Prints & Illustrated Books"": 17, ""Painting & Sculpture"": 1}"
Tina Barney,American,Female,1945,-1,20,"{""Photography"": 20}"
Hannelore Baron,American,Female,1926,1987,4,"{""Drawings"": 1, ""Prints & Illustrated Books"": 3}"
Martin Barooshian,American,Male,1929,-1,1,"{""Prints & Illustrated Books"": 1}"
Maurice Barraud,Swiss,Male,1889,1955,2,"{""Prints & Illustrated Books"": 2}"
Susan Barron,American,Female,1947,-1,1,"{""Photography"": 1}"
Thomas F. Barrow,American,Male,1938,-1,3,"{""Photography"": 3}"
D. F. Barry,American,Male,1854,1934,1,"{""Photography"": 1}"
Robert Barry,American,Male,1936,-1,36,"{""Prints & Illustrated Books"": 13, ""Drawings"": 17, ""Painting & Sculpture"": 4, ""Media and Performance Art"": 2}"
Robert Bart,American,Male,1923,-1,1,"{""Painting & Sculpture"": 1}"
Frances Barth,American,Female,1946,-1,1,"{""Drawings"": 1}"
Ruodi Barth,Swiss,Male,1921,1999,2,"{""Architecture & Design"": 2}"
"Ralph Bartholomew, Jr.",American,Male,1907,1985,1,"{""Photography"": 1}"
Jennifer Bartlett,American,Female,1941,-1,24,"{""Prints & Illustrated Books"": 20, ""Painting & Sculpture"": 3, ""Drawings"": 1}"
Robert Bartlett,British,Male,1922,1979,1,"{""Architecture & Design"": 1}"
Carlo Bartoli,Italian,Male,1931,-1,1,"{""Architecture & Design"": 1}"
Luigi Bartolini,Italian,Male,1892,1963,5,"{""Prints & Illustrated Books"": 5}"
Joseph Bartscherer,American,Male,1954,-1,2,"{""Photography"": 2}"
Gianfranco Baruchello,Italian,Male,1924,-1,2,"{""Drawings"": 1, ""Painting & Sculpture"": 1}"
Héctor Basaldua,Argentine,Male,1895,1976,1,"{""Drawings"": 1}"
Georg Baselitz,German,Male,1938,-1,138,"{""Prints & Illustrated Books"": 121, ""Drawings"": 14, ""Painting & Sculpture"": 3}"
Mati Basis,Israeli,Male,1933,-1,1,"{""Prints & Illustrated Books"": 1}"
Leonard Baskin,American,Male,1922,2000,263,"{""Prints & Illustrated Books"": 259, ""Drawings"": 2, ""Painting & Sculpture"": 2}"
Jean-Michel Basquiat,American,Male,1960,1988,12,"{""Drawings"": 4, ""Prints & Illustrated Books"": 8}"
Joel Bass,American,Male,1943,-1,5,"{""Prints & Illustrated Books"": 5}"
Saul Bass,American,Male,1920,1996,10,"{""Architecture & Design"": 8, ""Film"": 2}"
Miriam Bat-Yosef,German,Female,1931,-1,1,"{""Prints & Illustrated Books"": 1}"
Josef Bato,Hungarian,Male,1888,1966,1,"{""Prints & Illustrated Books"": 1}"
John Battan,American,Male,1943,1976,1,"{""Prints & Illustrated Books"": 1}"
Wall Batterton,British,Male,1932,-1,1,"{""Prints & Illustrated Books"": 1}"
Dora M. Batty,British,Female,1900,1966,2,"{""Architecture & Design"": 2}"
Eugen Batz,German,Male,1905,1986,10,"{""Prints & Illustrated Books"": 10}"
André Bauchant,French,Male,1873,1958,2,"{""Painting & Sculpture"": 2}"
Karl Bauer,German,Male,1868,1942,1,"{""Prints & Illustrated Books"": 1}"
Rudolph Bauer,American,Male,1889,1954,1,"{""Architecture & Design"": 1}"
Mary Bauermeister,American,Female,1934,-1,5,"{""Drawings"": 3, ""Prints & Illustrated Books"": 1, ""Painting & Sculpture"": 1}"
Marilyn Baum,American,Female,1939,-1,1,"{""Drawings"": 1}"
Hans Theo Baumann,German,Male,1924,-1,1,"{""Architecture & Design"": 1}"
Otto Baumberger,Swiss,Male,1889,1961,5,"{""Architecture & Design"": 4, ""Prints & Illustrated Books"": 1}"
Willi Baumeister,German,Male,1889,1955,48,"{""Architecture & Design"": 9, ""Drawings"": 8, ""Prints & Illustrated Books"": 28, ""Painting & Sculpture"": 3}"
